column, desc, unit\PPO:L-TK004_RS_12HR_SQL, TK004 Reactive Sulphur 12hrly, %
PPO:L-TK004_RS_3HR, TK004 Reactive Sulphur 3hrly, %
PPO:L-TK004_RS_3HR_SQL, TK004 Reactive Sulphur 3hrly, %
PPO:L-TK004_S2_Grab, TK004 Sulphur Assay, %
PPO:AC001:ORP_MANUAL, AC001 ORP MANUAL ENTRY, 
PPO:L-ACFD_As_12HR, AC Feed As 12hrly, ppm
PPO:AC001:Ss_CRO_Entered, AC001 CRO Entered Ss %, 
PPO:L-ACFD_As_12HR_SQL, AC Feed As 12hrly, ppm
PPO:AC001_%S2_IN_ACF, AC#1 %S2 in ACF, 
PPO:L-TK005_RS_12HR_SQL, TK005 Reactive Sulphur 12hrly, %
PPO:L-ACFD_AU_12HR, AC Feed Au 12hrly, ppm
PPO:AC001_O2_S2_THEOR, AC#1 O2:S2 Theoretical Ratio, 
PPO:L-TK005_RS_3HR, TK005 Reactive Sulphur 3hrly, %
PPO:L-ACFD_AU_12HR_SQL, AC Feed Au 12hrly, %
PPO:L-ACD1_As_12HR, AC#1 Disch As 12hrly, 
PPO:L-TK005_RS_3HR_SQL, TK005 Reactive Sulphur 3hrly, %
PPO:L-ACFD_CACO3_12HR, AC Feed CaCO3 12hrly, %
PPO:L-ACD1_As_12HR_SQL, AC#1 Disch As 12hrly, 
PPO:L-TK005_S2_Grab, TK005 Sulphur Assay, %
PPO:L-ACFD_CACO3_12HR_SQL, AC Feed CaCO3 12hrly, %
PPO:L-ACD1_AU_12HR, AC#1 Disch Au 12hrly, 
PPO:L-ACFD_CACO3_2HR, AC Feed CaCO3 2hrly, %
PPO:L-ACD1_AU_12HR_SQL, AC#1 Disch Au 12hrly, 
PPO:L-ACFD_CACO3_2HR_SQL, AC Feed CaCO3 2hrly, ppm
PPO:L-ACD1_CL_12HR, AC#1 Disch Cl 12hrly, 
PPO:L-TK006_RS_12HR_SQL, TK006 Reactive Sulphur 12hrly, %
PPO:L-ACFD_CL_12HR, AC Feed Cl 12hrly, ppm
PPO:L-ACD1_CL_12HR_SQL, AC#1 Disch Cl 12hrly, 
PPO:L-TK006_RS_3HR, TK006 Reactive Sulphur 3hrly, %
PPO:L-ACFD_CL_12HR_SQL, AC Feed Cl 12hrly, %
PPO:L-ACD1_FE2_12HR, AC#1 Disch Fe2 12hrly, 
PPO:L-TK006_RS_3HR_SQL, TK006 Reactive Sulphur 3hrly, %
PPO:L-ACFD_FE_12HR, AC Feed Fe 12hrly, %
PPO:L-ACD1_FE2_12HR_SQL, AC#1 Disch Fe2 12hrly, 
PPO:L-TK006_S2_Grab, TK006 Sulphur Assay, %
PPO:L-ACFD_FE_12HR_SQL, AC Feed Fe 12hrly, pH
PPO:L-ACD1_FE2_2HR, AC#1 Disch Fe3 2hrly, 
PPO:L-ACFD_PH_12HR, AC Feed pH 12hrly, pH
PPO:L-ACD1_FE3_12HR, AC#1 Disch Fe3 12hrly, 
PPO:L-ACFD_PH_12HR_SQL, AC Feed pH 12hrly, pH
PPO:L-ACD1_FE3_12HR_SQL, AC#1 Disch Fe3 12hrly, 
PPO:L-TK1004_RS_12HR_SQL, TK1004 Reactive Sulphur 12hrly, %
PPO:L-ACFD_PH_2HR, AC Feed pH 2hrly, pH
PPO:L-ACD1_FE3_2HR, AC#1 Disch Fe3 2hrly, 
PPO:L-TK1004_RS_3HR, TK1004 Reactive Sulphur 3hrly, %
PPO:L-ACFD_PH_2HR_SQL, AC Feed pH 2hrly, ppm
PPO:L-ACD1_H2SO4_12HR, AC#1 Disch H2SO4 12hrly, 
PPO:L-TK1004_RS_3HR_SQL, TK1004 Reactive Sulphur 3hrly, %
PPO:L-ACFD_R_AU_12HR, AC Feed Au 12hrly Dup, ppm
PPO:L-ACD1_H2SO4_12HR_SQL, AC#1 Disch H2SO4 12hrly, 
PPO:L-ACFD_R_AU_12HR_SQL, AC Feed Au 12hrly Dup, %
PPO:L-ACD1_H2SO4_3HR, AC1 disch H2SO4 3Hrly, 
PPO:L-ACFD_R_S2_12HR, AC Feed S2 12hrly Dup, %
PPO:L-ACD1_H2SO4_3HR_SQL, AC1 disch H2SO4 3Hrly, 
PPO:L-TK2004_RS_12HR_SQL, TK2004 Reactive Sulphur 12hrly, %
PPO:L-ACFD_R_S2_12HR_SQL, AC Feed S2 12hrly Dup, ppm
PPO:L-ACD1_ORP_12HR, AC#1 Disch ORP 12hrly, 
PPO:L-TK2004_RS_3HR, TK2004 Reactive Sulphur 3hrly, %
PPO:L-ACFD_R2_AU_12HR, AC Feed Au 12hrly, %
PPO:L-ACD1_ORP_12HR_SQL, AC#1 Disch ORP 12hrly, 
PPO:L-TK2004_RS_3HR_SQL, TK2004 Reactive Sulphur 3hrly, %
PPO:L-ACFD_R2_S2_12HR, AC Feed S2 12hrly Dup, ppm
PPO:L-ACD1_ORP_3HR, AC#1 Disch ORP (mV), 
PPO:L-TK2004_S2_Grab, TK2004 Sulphur Assay, %
PPO:L-ACFD_R3_AU_12HR, AC Feed Au 12hrly Dup, %
PPO:L-ACD1_ORP_3HR_SQL, AC#1 Disch ORP (mV), 
PPO:L-ACFD_R3_S2_12HR, AC Feed S2 12hrly, %
PPO:L-ACD1_PH_12HR, AC#1 Disch pH 12hrly, 
PPO:L-ACFD_RS_12HR_SQL, AC Feed Reactive Sulphur 12hrly, %
PPO:L-ACD1_PH_12HR_SQL, AC#1 Disch pH 12hrly, 
PPO:L-TK2005_RS_12HR_SQL, TK2005 Reactive Sulphur 12hrly, %
PPO:L-ACFD_RS_2HR, AC Feed Reactive Sulphur 2hrly, %
PPO:L-ACD1_R_S2_12HR, AC#1 Disch S2 12hrly Dup, 
PPO:L-TK2005_RS_3HR, TK2005 Reactive Sulphur 3hrly, %
PPO:L-ACFD_RS_2HR_SQL, AC Feed Reactive Sulphur 2hrly, %
PPO:L-ACD1_R_S2_12HR_SQL, AC#1 Disch S2 12hrly Dup, 
PPO:L-TK2005_RS_3HR_SQL, TK2005 Reactive Sulphur 3hrly, %
PPO:L-ACFD_S2_12HR, AC Feed S2 12hrly, %
PPO:L-ACD1_R2_S2_12HR, AC#1 Disch S2 12hrly Dup, 
PPO:L-TK2005_S2_Grab, TK2005 Sulphur Assay, %
PPO:L-ACFD_S2_12HR_SQL, AC Feed S2 12hrly, %
PPO:L-ACD1_R3_S2_12HR, AC#1 Disch S2 12hrly, 
PPO:L-ACFD_S2_2HR, AC Feed S2 2hrly, %
PPO:L-ACD1_RS_12HR_SQL, AC#1 Disch Reactive Sulphur 12hrly, 
PPO:L-ACFD_S2_2HR_SQL, AC Feed S2 2hrly, %Sol
PPO:L-ACD1_RS_3HR_SQL, AC#1 Disch Reactive Sulphur 3hrly, 
PPO:L-ACFD_SOLIDS_12HR, AC Feed %Sol 12hrly, %Sol
PPO:L-ACD1_S2_12HR, AC#1 Disch S2 12hrly, 
PPO:L-ACFD_SOLIDS_12HR_SQL, AC Feed %Sol 12hrly, kg/m3
PPO:L-ACD1_S2_12HR_SQL, AC#1 Disch S2 12hrly, 
PPO:PU035:DI045, AC Feed Density, %
PPO:L-ACD1_S2_2HR, AC#1 Disch S2 2hrly, 
PPO:AC001:Ss_CRO_Entered, AC001 CRO Entered Ss %, %
PPO:L-ACD1_S2_2HR_SQL, AC#1 Disch S2 2hrly, 
PPO:AC002:Ss_CRO_Entered, AC002 CRO Entered Ss %, %
PPO:PV001:AI131, AC#1 Disch ORP, 
PPO:AC003:Ss_CRO_Entered, AC003 CRO Entered Ss %, %
PPO:AC004:Ss_CRO_Entered, AC004 CRO Entered Ss %, 
PPO:AC002:ORP_MANUAL, AC002 ORP MANUAL ENTRY, 
PPO:AC003:ORP_MANUAL, AC003 ORP MANUAL ENTRY, 
PPO:L-ACD2_As_12HR, AC#2 Disch As 12hrly, 
PPO:AC2004:ORP_MANUAL, AC2004 ORP MANUAL ENTRY, 
PPO:L-ACD2_As_12HR_SQL, AC#2 Disch As 12hrly, 
PPO:AC2004_%S2_IN_ACF, AC#4 %S2 in ACF, 
PPO:L-ACD2_AU_12HR, AC#2 Disch Au 12hrly, 
PPO:L-AC4 F_S2_2HR, AC#4 Feed S2 2Hrly, 
PPO:L-ACD2_AU_12HR_SQL, AC#2 Disch Au 12hrly, 
PPO:L-AC4 FD_As_12HR, AC#4 Feed As 12Hrly, 
PPO:L-ACD2_CL_12HR, AC#2 Disch Cl 12hrly, 
PPO:L-AC4 FD_As_12HR_SQL, AC#4 Feed As 12Hrly, 
PPO:L-ACD2_CL_12HR_SQL, AC#2 Disch Cl 12hrly, 
PPO:L-AC4 FD_AU_12HR, AC#4 Feed Au 12Hrly, 
PPO:L-ACD2_FE2_12HR, AC#2 Disch Fe2 12hrly, 
PPO:L-AC4 FD_AU_12HR_SQL, AC#4 Feed Au 12Hrly, 
PPO:L-ACD2_FE2_12HR_SQL, AC#2 Disch Fe2 12hrly, 
PPO:L-AC4 FD_CACO3_12HR, AC#4 Feed CaCO3 12Hrly, 
PPO:L-ACD2_FE2_2HR, AC#2 Disch Fe3 2hrly, 
PPO:L-AC4 FD_CACO3_12HR_SQL, AC#4 Feed CaCO3 12Hrly, 
PPO:L-ACD2_FE3_12HR, AC#2 Disch Fe3 12hrly, 
PPO:L-AC4 FD_CACO3_2HR, AC#4 Feed CaCO4 O3 2Hrly, 
PPO:L-ACD2_FE3_12HR_SQL, AC#2 Disch Fe3 12hrly, 
PPO:L-AC4 FD_CACO3_2HR_SQL, AC#4 Feed CaCO4 O3 2Hrly, 
PPO:L-ACD2_FE3_2HR, AC#2 Disch Fe3 2hrly, 
PPO:L-AC4 FD_CL_12HR, AC#4 Feed Cl 12Hrly, 
PPO:L-ACD2_H2SO4_12HR, AC#2 Disch H2SO4 12hrly, 
PPO:L-AC4 FD_CL_12HR_SQL, AC#4 Feed Cl 12Hrly, 
PPO:L-ACD2_H2SO4_12HR_SQL, AC#2 Disch H2SO4 12hrly, 
PPO:L-AC4 FD_FE_12HR, AC#4 Feed Fe 12Hrly, 
PPO:L-ACD2_H2SO4_3HR, AC2 disch H2SO4 3Hrly, 
PPO:L-AC4 FD_FE_12HR_SQL, AC#4 Feed Fe 12Hrly, 
PPO:L-ACD2_H2SO4_3HR_SQL, AC2 disch H2SO4 3Hrly, 
